Mean_Intensity,Std_Intensity,Entropy
0.50055665,0.29604924,858.334
0.52861196,0.2702475,905.52155
0.5707566,0.2615214,970.1163
0.5105182,0.28502265,875.34717
0.5468597,0.26882175,933.92944
0.6085203,0.23186547,1030.3856
0.51844835,0.3013193,884.5793
0.4957643,0.30591553,849.2277
0.47185466,0.2863363,816.55255
0.31595415,0.2202579,577.7758
0.2963749,0.21235052,546.26013
0.30161732,0.21789287,554.0729
0.3016671,0.2219486,553.31726
0.33853522,0.22763352,613.5542
0.29693338,0.2009027,549.2369
0.32099724,0.22322607,585.18976
0.32525405,0.23185307,590.55334
0.32851008,0.23309393,596.24274
0.32438517,0.23163152,589.2562
0.4396477,0.24105316,769.7825
0.41435114,0.24479258,728.76447
0.43522373,0.2480217,761.4069
0.41799027,0.24530026,734.4307
0.42949617,0.24249753,753.52966
0.40577915,0.24221222,715.46045
0.4180826,0.2504564,733.4128
0.4090351,0.25802535,717.586
0.40664598,0.22740588,720.069
0.41140518,0.23463668,725.9569
0.48842517,0.31735855,835.87024
0.46087277,0.27744642,802.98883
0.5322923,0.24476258,915.0324
0.5072803,0.24243587,878.7108
0.47473893,0.24110594,829.0808
0.5801255,0.2518449,984.98346
0.5361553,0.25564614,918.5438
0.48015764,0.24730754,834.1276
0.37406006,0.2150408,672.5156
0.39786577,0.29084933,698.8061
0.58728784,0.28793028,989.76874
0.48459893,0.26941022,840.4898
0.46195665,0.25851613,807.73804
0.44832766,0.26350176,785.3224
0.44440368,0.25674284,780.8974
0.5182024,0.27040792,890.6607
0.5483249,0.2670358,936.22186
0.48223695,0.2710612,835.74866
0.45578867,0.25785962,798.22345
0.40515038,0.19029182,728.3584
0.47939262,0.20394678,840.5164
0.49340403,0.2004732,862.59064
0.4338526,0.20237166,771.85284
0.43290007,0.18434216,772.2909
0.43097994,0.19390933,768.36053
0.4297053,0.19433421,766.2283
0.42830375,0.1934738,764.18353
0.4105868,0.19520642,736.42773
0.40691054,0.17948231,732.54346
0.35437497,0.24060394,636.35547
0.3713928,0.23171356,665.7455
0.3581979,0.23737313,643.072
0.0760758,0.048502497,170.26997
0.34656,0.23377067,625.07007
0.18057549,0.117952324,359.59732
0.27692297,0.17355084,519.0329
0.3916948,0.23496805,697.496
0.37918398,0.23608029,677.3371
0.34462944,0.24076633,620.5311
0.45126238,0.2938352,783.61383
0.40416816,0.2781669,712.4127
0.38588986,0.27459937,683.74896
0.45737585,0.2945141,792.6517
0.3804249,0.28565452,672.166
0.45380983,0.29138437,787.7293
0.45703307,0.29288286,792.3256
0.46281534,0.2875731,802.1649
0.4678875,0.2803922,811.493
0.46653074,0.29287887,807.19336
0.29625532,0.22011538,547.7471
0.2988934,0.22815388,550.1045
0.30465174,0.23631023,557.0353
0.274686,0.22484632,509.0944
